tickerName,1m,5m,15m,1h,4h,6h,12h,1d,1w,1month
BTCUSDT,,42529.99,,43410.3,42325.02,42325.02,42594.06,44751.4,,
ETHUSDT,,2992.66,,3307.22,2984,2984,3043.91,3196.19,,
LUNAUSDT,,93.59999999999999,,89.14,94.47,95.84,95.84,54.2,,
AVAXUSDT,,84.59999999999999,,80.31,92.39,82.7,92.39,98.77,,
XRPUSDT,,0.8326,,0.7683,0.8268,0.849,0.849,0,,
MATICUSDT,,1.517,,0,1.533,0,1.519,1.699,,
SOLUSDT,,91.29000000000001,,113.97,94.55,91,94.55,95.48999999999999,,
MANAUSDT,,2.4699,,2.3485,2.5354,2.5555,2.5935,3.4,,
SANDUSDT,,3.2278,,3.0022,3.3619,3.3619,3.3619,4.4548,,
GALAUSDT,,0.2415,,0.21583,0.24172,0,0.25788,0.27684,,
DOTUSDT,,20.73,,0,20.22,19.79,19.35,0,,
ADAUSDT,,0.989,,1.044,0.916,0,1.011,1.011,,
DOGEUSDT,,0.1222,,0.1578,0.1251,0.1251,0.1251,0.139,,
LTCUSDT,,122.4,,113.1,118.5,118.5,116,0,,
EOSUSDT,,2.517,,2.483,2.277,2.277,2.313,2.582,,
LINKUSDT,,15.47,,15.93,15.86,14.93,15.87,15.87,,
NEARUSDT,,11.149,,17.45,11.56,11.288,11.79,0,,
CRVUSDT,,2.316,,2.49,2.326,0,2.214,3.3,,
FTMUSDT,,1.2803,,1.3263,1.346,1.346,1.7121,2.148,,
REEFUSDT,,0.00944,,0,0.00967,0.0091,0.00967,0.0128,,
ATOMUSDT,,27.93,,27.39,29.42,29.11,31.32,30.86,,
ICPUSDT,,19.12,,17.44,0,0,20.77,22.54,,
AXSUSDT,,52.42,,52.14,54.45,54.45,54.45,66.20999999999999,,
EGLDUSDT,,192.44,,171.45,169.77,164.8,200,0,,
XLMUSDT,,0.2086,,0,0.2021,0.2021,0.2029,0,,
ARUSDT,,32.29,,0,36.61,36.61,38.79,35.7,,
FILUSDT,,19.64,,21.59,0,19.38,19.29,23.58,,
XTZUSDT,,3.456,,3.301,3.433,0,3.433,4.192,,
DYDXUSDT,,5.018,,5.3,5.145,5.403,5.202,7.725,,
SUSHIUSDT,,3.529,,0,3.563,3.435,4.837,3.631,,
AAVEUSDT,,153.1,,185.6,165.6,0,165.6,174.5,,
ETCUSDT,,47.46,,41.79,37.48,27.59,31.43,0,,
BCHUSDT,,366.9,,332.4,328.8,318.2,343.8,0,,
TRXUSDT,,0,,0.064,0.06216,0.06154,0.06292,0,,
THETAUSDT,,0,,3.486,3.187,3.08,3.151,4.052,,
1INCHUSDT,,0,,1.658,1.745,1.543,1.745,1.872,,
DASHUSDT,,133.9,,109.8,133,0,105.5,118.8,,
RENUSDT,,0.37,,0.402,0.3784,0.3784,0.4355,0,,
BNBUSDT,,402.8,,427.8,406.4,406.4,406.4,424.9,,
